1,Enquiry Request,by B2B customer/Sales,Sales,,E,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2,Enquiry Receipt by Sales,by Sales,Sales,,E,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
3,Enquiry Receipt by Merchant,by Merchant,Merchandising,,E,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4,Enquiry Resolved by Sales,by Sales,Sales,,E,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,Enquiry Resolved by Merchant,by Merchant,Merchandising,,E,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,Design request,by B2B customer/Sales,Sales,,D,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7,Design Receipt by Sales,by Sales,Sales,,D,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8,Design Receipt by Design,by Design,Design,,D,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9,Design Development,by Design,Design,,D,8,3,3,3,3,3,3,3,3,3,3,3,1,1,1
10,Design Submitted,by Sales,Sales,,D,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1
11,Sample Request,by B2B customer/Sales,Sales,,S,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
12,Sampling Receipt by Sales,by Sales ,Sales,,S,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1
13,Sample Receipt by Merchant,by Merchant,Merchandising,,S,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14,Sample Lab Test Submission,by Merchant,Merchandising,,S,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1
15,Sample Lab Test Report Receipt,by Merchant,Merchandising,,S,14,2,2,2,2,2,2,2,2,2,2,2,1,1,1
16,Sample Fabric Vendor Allocation,by Fabric Sourcing,Fabric Sourcing,,S,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,Sample Fabric Swatch Receipt,by Fabric Vendor,Fabric Sourcing,,S,16,2,2,2,2,2,2,2,2,2,2,2,1,1,1
18,Sample Fabric Development,by Fabric Vendor,,Fabric Vendor,,17,2,2,2,2,2,2,2,2,2,2,2,1,1,1
19,Sample Fabric Receipt,by Fabric Sourcing,,Fabric Vendor,S,18,2,2,2,2,2,2,2,2,2,2,2,1,1,1
20,Sample Garment Vendor Allocation,by Merchant,Merchandising,,S,14,0,0,0,0,0,0,0,0,0,0,0,1,1,1
21,Customer Sample Receipt by Garment Vendor,by Garment Vendor,,Garmenting Vendor,S,14,2,2,2,2,2,2,2,2,2,2,2,1,1,1
22,Sample Fabric Receipt by Garment Vendor,,,Garmenting Vendor,,20,2,2,2,2,2,2,2,2,2,2,2,1,1,1
23,Sample Development,by Garment Vendor,,Garmenting Vendor,S,22,2,2,2,2,2,2,2,2,2,2,2,1,1,1
24,Sample Receipt by Merchant,by Merchant,Merchandising,,S,23,2,2,2,2,2,2,2,2,2,2,2,1,1,1
25,Sample Evaluation by Quality,By Quality,Quality,,S,24,0,0,0,0,0,0,0,0,0,0,0,1,1,1
26,Sample Receipt by Sales,by Sales,Sales,,S,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1
27,Sample Receipt by B2B Customer,by B2B customer,Sales,,S,26,2,2,2,2,2,2,2,2,2,2,2,1,1,1
28,Order Request,by B2B/Sales,Sales,,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
29,Order Mail Confirmation,by Sales/Merchant,Sales,,O,28,0,0,0,0,0,0,0,0,0,0,0,1,1,1
30,Order Receipt by Sales,by Sales,Sales,,O,29,0,0,0,0,0,0,0,0,0,0,0,1,1,1
31,Order Receipt by Merchant,by Merchant,Merchandising,,O,30,0,0,0,0,0,0,0,0,0,0,0,1,1,1
32,Order PO Receipt,by Sales/Merchant,Sales,,O,31,2,2,2,2,1,1,1,1,1,0,0,1,1,1
33,Order Master Creation,by Documentation/SPAC,Documentation/SPAC,,O,32,1,1,1,1,1,1,0,0,0,0,0,1,1,1
34,Fabric Bulk Order Form,by Merchant,Merchandising,,O,33,0,0,0,0,0,0,0,0,0,0,0,1,1,1
35,Size-set Submission/Specs Allocation,by Merchant,Merchandising,,O,34,1,1,1,1,1,1,1,1,0,0,0,1,1,1
36,"Fabric CAD/BOM, Floating and Costing",by Fabric Sourcing/CAD/IE,Fabric Sourcing,,O,35,1,1,1,1,1,1,0,0,0,0,0,1,1,1
37,Fabric Commercial Approval,by Fabric Sourcing/Commercial+C61,Fabric Sourcing,,O,36,1,1,1,1,1,1,0,0,0,0,0,1,1,1
38,Fabric Vendor Capacity wise Allocation,by Fabric Sourcing,Fabric Sourcing,,O,37,0,0,0,0,0,0,0,0,0,0,0,1,1,1
39,Fabric Ordering,by Fabric Sourcing,Fabric Sourcing,,O,38,1,1,1,1,1,1,0,0,0,0,0,1,1,1
40,Fabric PO,by Fabric Sourcing/Documentation-SPAC,Fabric Sourcing,,O,39,1,1,1,1,1,0,0,0,0,0,0,1,1,1
41,Lab Dip/Desk Loom/Strike Off Approvals,by Fabric Sourcing,Fabric Sourcing,,O,40,1,1,1,1,1,0,0,0,0,0,0,1,1,1
42,PSS,by Fabric Sourcing,Fabric Sourcing,,O,41,20,20,13,10,8,5,4,1,0,0,0,1,1,1
43,FPT,by Fabric Sourcing,Fabric Sourcing,,O,42,2,2,2,2,2,1,1,1,0,0,0,1,1,1
44,Yardage,by Fabric Sourcing,Fabric Sourcing,,O,43,14,14,14,14,13,12,10,7,7,3,0,2,1,1
45,Fabric inline inspection,by Fabric Sourcing/Quality,Fabric Sourcing,,O,44,5,5,5,4,3,2,1,1,0,0,0,1,1,1
46,Fabric midline inspection,by Fabric Sourcing/Quality,Fabric Sourcing,,O,45,15,15,8,6,5,4,3,2,0,0,0,2,1,1
47,Fabric endline inspection,by Fabric Sourcing/Quality,Fabric Sourcing,,O,46,10,10,5,5,4,4,3,2,0,0,0,2,1,1
